SUBJID,PARTNER,CONTRAST,MAPPING,BIN,TargProp,CompProp
S06,same,test,Between,12,0.5714285714,0.4285714286
S06,diff,foil,Between,13,0.5714285714,0
S06,same,foil,Between,13,1,0
S06,diff,test,Between,13,0.5714285714,0.1428571429
S06,same,test,Between,13,0.5714285714,0.4285714286
S06,diff,foil,Between,14,0.6666666667,0
S06,same,foil,Between,14,1,0
S06,diff,test,Between,14,0.625,0.125
S06,same,test,Between,14,0.6666666667,0.3333333333
S06,diff,foil,Between,15,0.5,0
S06,same,foil,Between,15,1,0
S06,diff,test,Between,15,0.5,0.25
S06,same,test,Between,15,0.7142857143,0.2857142857
S06,diff,foil,Between,16,0.5,0
S06,same,foil,Between,16,1,0
S06,diff,test,Between,16,0.5714285714,0.1428571429
S06,same,test,Between,16,0.7142857143,0.2857142857
S06,diff,foil,Between,17,0.5,0
S06,same,foil,Between,17,1,0
S06,diff,test,Between,17,0.5714285714,0.1428571429
S06,same,test,Between,17,0.6666666667,0.3333333333
S06,diff,foil,Between,18,0.5,0
S06,same,foil,Between,18,1,0
S06,diff,test,Between,18,0.7142857143,0.1428571429
S06,same,test,Between,18,0.75,0.25
S07,diff,foil,Between,-6,0,0
S07,same,foil,Between,-6,0.2857142857,0.1428571429
S07,diff,test,Between,-6,0.25,0.25
S07,same,test,Between,-6,0.1666666667,0.1666666667
S07,diff,foil,Between,-5,0,0
S07,same,foil,Between,-5,0.2857142857,0.1428571429
S07,diff,test,Between,-5,0.3333333333,0.1666666667
S07,same,test,Between,-5,0.2222222222,0.1111111111
S07,diff,foil,Between,-4,0,0
S07,same,foil,Between,-4,0.375,0.125
S07,diff,test,Between,-4,0.1666666667,0.1666666667
S07,same,test,Between,-4,0.375,0.125
S07,diff,foil,Between,-3,0.125,0.125
S07,same,foil,Between,-3,0.375,0.125
S07,diff,test,Between,-3,0.2857142857,0.1428571429
S07,same,test,Between,-3,0.4285714286,0.4285714286
S07,diff,foil,Between,-2,0.2222222222,0.4444444444
S07,same,foil,Between,-2,0.5,0.125
S07,diff,test,Between,-2,0.5,0.25
S07,same,test,Between,-2,0.4285714286,0.4285714286
S07,diff,foil,Between,-1,0.2857142857,0.5714285714
S07,same,foil,Between,-1,0.625,0.25
S07,diff,test,Between,-1,0.5,0.375
S07,same,test,Between,-1,0.3333333333,0.6666666667
S07,diff,foil,Between,1,0.2857142857,0.7142857143
S07,same,foil,Between,1,0.75,0.25
S07,diff,test,Between,1,0.375,0.625
S07,same,test,Between,1,0.2857142857,0.7142857143
S07,diff,foil,Between,2,0.4285714286,0.5714285714
S07,same,foil,Between,2,0.625,0.375
S07,diff,test,Between,2,0.25,0.75
S07,same,test,Between,2,0.4285714286,0.5714285714
S07,diff,foil,Between,3,0.5714285714,0.4285714286
S07,same,foil,Between,3,0.5,0.5
S07,diff,test,Between,3,0.375,0.625
S07,same,test,Between,3,0.4285714286,0.5714285714
S07,diff,foil,Between,4,0.875,0.125
S07,same,foil,Between,4,0.5,0.5
S07,diff,test,Between,4,0.2857142857,0.7142857143
S07,same,test,Between,4,0.375,0.625
S07,diff,foil,Between,5,0.875,0.125
